manufacturer,date,customer,dealer,order_number,amount
Front of the House,2/25/2015,Clevelander Hotel,Edward Don,605939,360.72 
Front of the House,2/25/2015,Club at Pelican Bay,Edward Don,605968,174.24 
Front of the House,2/25/2015,Culinary Convenience,Culinary Convenience,605990,62.28 
Front of the House,2/25/2015,Culinary Convenience,Culinary Convenience,606005,132.24 
Front of the House,2/25/2015,Harborside,US Foods,605862,183.84 
Front of the House,2/25/2015,Hilton Cocoa Beach ,Edward Don,605934,55.20 
Front of the House,2/25/2015,Hilton Orlando,Edward Don,605991,583.44 
Front of the House,2/25/2015,Hilton Orlando,Edward Don,605991,583.44 
Front of the House,2/25/2015,Holiday Inn,Edward Don,605940,310.44 
Front of the House,2/25/2015,JW Marriott Orlando,Wasserstrom,606020,310.32 
Front of the House,2/25/2015,Marenas Beach Resort and Spa,Wasserstrom,605911,193.44 
Front of the House,2/25/2015,Marriott Biscayne Bay Htl,Wasserstrom,605909,586.44 
Front of the House,2/25/2015,Marriott Harbor Beach,Wasserstrom,605891,247.68 
Front of the House,2/25/2015,Marriott Harbor Beach,Wasserstrom,605923,247.68 
Front of the House,2/25/2015,Marriott Harbor Beach,Wasserstrom,605928,256.80 
Front of the House,2/25/2015,Naples Sailing 7 Y c/ Retail,Edward Don,605921,582.72 
Front of the House,2/25/2015,Rosies Bar and Grill,Sysco Food Service of South Florida,605859,"1,679.04 "
Front of the House,2/25/2015,Sea The,Edward Don,605972,331.56 
Front of the House,2/25/2015,Seminole Beach Club,US Foods,605861,67.96 
Front of the House,2/25/2015,Shore Diner,Edward Don,605966,59.40 
Front of the House,2/25/2015,Southern Dunes Golf & C/C ,Supplies on the Fly,605914,819.36 
Front of the House,2/25/2015,Sysco foodservices Central Florida,Sysco Foodservices Central Florida,605863,179.52 
Front of the House,2/25/2015,Tomson Hospitality,Tomson Hospitality,605877,522.00 
Front of the House,2/25/2015,Vines Grille & Wine Bar,Supplies on the Fly,605919,198.00 
Front of the House,2/25/2015,WDW Boardwalk Resort,Edward Don,605931,576.72 
Front of the House,2/26/2015,Casa Mia Trattoria,Sysco Food Service of South Florida,606129,293.52 
Front of the House,2/26/2015,Culinary Convenience,Culinary Convenience,606049,153.90 
Front of the House,2/26/2015,Delray Sands Resort,Atlantic Purchasing,606034,"1,225.36 "
Front of the House,2/26/2015,Diplomat Resort & Spa,Edward Don,606032,457.68 
Front of the House,2/26/2015,Diplomat Resort & Spa,Edward Don,606047,540.00 
Front of the House,2/26/2015,General Hotel,General Hotel,606023,335.16 
Front of the House,2/26/2015,Gordon Food Service,Gordon Food Service,606050,822.66 
Front of the House,2/26/2015,"Hooters (Cantonment, Fl)",Edward Don,606079,650.40 
Front of the House,2/26/2015,Jerico Restaurant Supply,Jerico Restaurant Supply,606077,"1,505.92 "
Front of the House,2/26/2015,Katsuya Miami,R.W. Smith & Co.,606104,216.72 
Front of the House,2/26/2015,New York Pizza and Pasta,Cheney Brothers,606086,104.40 
Front of the House,2/26/2015,St Regis Bal Harbor,Edward Don,606114,582.72 
Front of the House,2/26/2015,W South Beach Hotel & Residences,Edward Don,606044,117.48 
Front of the House,2/26/2015,WDW Be Our Guest,Edward Don,606119,"1,762.00 "
Front of the House,2/26/2015,WDW Be Our Guest,Edward Don,606117,658.92 
Panaz,2/27/2015,Amazing Frames USA,Downing Management ,103146,792.00 
Front of the House,2/27/2015,American Food Equipment,American Food Equipment,606176,"1,310.28 "
Front of the House,2/27/2015,Arthurs Catering,Edward Don,606185,932.40 
Front of the House,2/27/2015,Bay House Restaurant,Edward Don,606165,489.84 
Front of the House,2/27/2015,BluMangrove Grill,Food Service Warehouse,606149,63.84 
Front of the House,2/27/2015,BluMangrove Grill,Food Service Warehouse,606149,63.84 
Front of the House,2/27/2015,C Level,Edward Don,606254,102.00 
Front of the House,2/27/2015,Culinary Convenience,Culinary Convenience,606235,320.04 
Front of the House,2/27/2015,Garden Taco - PGA,Edward Don,606195,206.88 
Front of the House,2/27/2015,Hilton at WDW Resort,Edward Don,606251,863.40 
Front of the House,2/27/2015,Jonathans Landing Inc,Edward Don,606242,240.10 
Front of the House,2/27/2015,La Tavola,Edward Don,606255,"1,134.36 "
Front of the House,2/27/2015,Loews Miami Beach Hotel 179172,Wasserstrom,606249,235.20 
Front of the House,2/27/2015,Martin Mem Hosp Assn Inc,Edward Don,606163,87.12 
Front of the House,2/27/2015,National Marine Suppliers,National Marine Suppliers,606172,271.92 
Front of the House,2/27/2015,Sky Asian Fusion,Edward Don,606155,302.16 
Front of the House,2/27/2015,Wasserstrom,Wasserstrom,606298,"4,197.08 "
Front of the House,2/27/2015,Tween Waters Inn,Edward Don,606164,78.24 
Front of the House,2/27/2015,WDW Animal Kingdom Lodge,Edward Don,606232,864.00 
Front of the House,2/27/2015,WDW Cinderella Royal Table,Edward Don,606265,587.20 
Front of the House,3/2/2015,Commercial Glass & Restaurant,Dots,3323150,60.00 
Front of the House,3/2/2015,Compass-Univeristy ,Louis Wohl,606336,408.18 
Front of the House,3/2/2015,Compass-Univeristy ,Louis Wohl,606336,408.18 
Front of the House,3/2/2015,Culinary Convenience,Culinary Convenience,606375,162.48 
Dudson,3/2/2015,Disney Wonder,Disney Cruise Line,149074,959.55 
Front of the House,3/2/2015,Dolphin Hotel Association,Walt Disney World Dolphin Hotel,606384,150.00 
Front of the House,3/2/2015,Dolphin Hotel Association,Walt Disney World Dolphin Hotel,606357,223.20 
Front of the House,3/2/2015,Dolphin Hotel Association,Walt Disney World Dolphin Hotel,606388,150.00 
Front of the House,3/2/2015,Dolphin Hotel Association,Walt Disney World Dolphin Hotel,606357,223.20 
Front of the House,3/2/2015,Dolphin Hotel Association,Walt Disney World Dolphin Hotel,606384,150.00 
Front of the House,3/2/2015,Dolphin Hotel Association,Walt Disney World Dolphin Hotel,606388,150.00 
Front of the House,3/2/2015,General Hotel,General Hotel,606331,122.88 
Front of the House,3/2/2015,General Hotel,General Hotel,606651,73.92 
Front of the House,3/2/2015,"Jupiter Beach Resort TRS, LLC",Atlantic Purchasing,606358,454.68 
Front of the House,3/2/2015,New Wave Design Group,New Wave Design Group,606349,168.13 
Front of the House,3/2/2015,New Wave Design Group,New Wave Design Group,606349,168.13 
Front of the House,3/2/2015,Oceans 234,Cheney Brothers,606356,234.00 
Front of the House,3/2/2015,Oceans 234,Cheney Brothers,606356,234.00 
Front of the House,3/2/2015,Players Club & Spa,Edward Don,606393,400.32 
Front of the House,3/2/2015,Plymouth Harbor,Edward Don,606318,180.96 
Front of the House,3/2/2015,Puff N Stuff Catering ,Louis Wohl,606380,345.60 
Front of the House,3/2/2015,Sandcastle Resort,Atlantic Purchasing,606389,217.80 
Front of the House,3/2/2015,Sandcastle Resort,Atlantic Purchasing,606389,217.80 
Front of the House,3/2/2015,Supreme Hotel and Restaurant Supply,Supreme Hotel and Restaurant Supply,606330,"1,653.00 "
Front of the House,3/2/2015,Supreme Hotel and Restaurant Supply,Supreme Hotel and Restaurant Supply,606329,"1,060.80 "
Front of the House,3/2/2015,WDW Cinderella Royal Table,Edward Don,606322,574.20 
Front of the House,3/2/2015,WDW Cinderella Royal Table,Edward Don,606321,277.80 
Front of the House,3/2/2015,WDW Cinderella Royal Table,Edward Don,606319,775.44 
Front of the House,3/2/2015,Westin Ft Lauderdale,Edward Don,606315,847.08 
Front of the House,3/3/2015,Aly's Beach Resort,TriMark Century Concepts,606444,200.64 
Front of the House,3/3/2015,American Food Equipment,American Food Equipment,606485,"2,565.60 "
Front of the House,3/3/2015,Cafe Andiamo,Atlanta Fixture,606938,77.76 
Front of the House,3/3/2015,Culinary Convenience,Culinary Convenience,606591,95.40 
Dudson,3/3/2015,Disney Dream,Disney Cruise Line,149125,"4,753.70 "
Dudson,3/3/2015,Disney Wonder,Disney Cruise Line,149095,"1,704.30 "
Front of the House,3/3/2015,Dolphin Hotel Association,Walt Disney World Dolphin Hotel,606563,577.20 
Front of the House,3/3/2015,Edward Don,Edward Don,606649,"4,929.32 "
Front of the House,3/3/2015,Element Miami Doral,Edward Don,606617,294.88 
Front of the House,3/3/2015,Fogo De Chao Orlando Cap Ex,Edward Don,606626,115.20 
Front of the House,3/3/2015,General Hotel,General Hotel,606489,72.96 
Front of the House,3/3/2015,General Hotel,General Hotel,606491,302.16 
Front of the House,3/3/2015,Mandarin Oriental Miami,Mandarin Oriental Miami,606506,89.66 
Front of the House,3/3/2015,Naples Beach Hotel & Golf Club,Edward Don,606625,124.56 
Front of the House,3/3/2015,Novecento Bistro,Sysco Food Service of South Florida,606583,220.00 
Front of the House,3/3/2015,Pelican Grand Beach Resort,Edward Don,606609,376.08 
Front of the House,3/3/2015,Ponte Vedra Inn & Club,TriMark Strategic Equip. & Corp.,606446,"2,952.32 "
Front of the House,3/3/2015,Rollot Designs Inc,Rollot Designs Inc,606487,122.40 
Front of the House,3/3/2015,Saddlebrook Resorts Inc,Edward Don,606604,134.88 
Front of the House,3/3/2015,West Kendall Baptist ,US Foods,606471,184.32 
Front of the House,3/3/2015,West Kendall Baptist ,US Foods,606476,75.60 
Dudson,3/3/2015,Wolfe Hospitality,San Angel Inn,149122,612.00 
Front of the House,3/4/2015,A Chair Affair ,Edward Don,606758,"4,962.00 "
Front of the House,3/4/2015,Admirals Inn Miami Intl Airport,Edward Don,606815,58.56 
Front of the House,3/4/2015,American Food Equipment,American Food Equipment,606654,"1,078.20 "
Front of the House,3/4/2015,American Food Equipment,American Food Equipment,606659,126.72 
Front of the House,3/4/2015,Bostons on the Beach,Atlantic Purchasing,606701,429.96 
Front of the House,3/4/2015,Bostons on the Beach,Atlantic Purchasing,606702,632.16 
Front of the House,3/4/2015,Cut 432,R.W. Smith & Co.,606761,154.80 
Front of the House,3/4/2015,General Hotel,General Hotel,606652,439.32 
Front of the House,3/4/2015,General Hotel,General Hotel,606623,518.88 
Front of the House,3/4/2015,Grand Beach Hotel,"Hotel Supply Warehouse, Inc.",606810,705.00 
Front of the House,3/4/2015,Grand Beach Hotel,"Hotel Supply Warehouse, Inc.",606810,705.00 
Front of the House,3/4/2015,GSI 7004 Marbella,US Foods,606816,135.00 
Front of the House,3/4/2015,Hyde Out,Edward Don,606771,457.92 
Front of the House,3/4/2015,Luma on Park,Edward Don,606804,105.84 
Front of the House,3/4/2015,Max's Social House,US Foods,606731,238.56 
Front of the House,3/4/2015,Miami Airport Hilton,Edward Don,606775,125.28 
Front of the House,3/4/2015,Residence Inn - MCORY,Wasserstrom,606786,35.04 
Front of the House,3/4/2015,Rollot Designs Inc,Rollot Designs Inc,606800,105.60 
Front of the House,3/4/2015,Sysco foodservices Central Florida,Sysco Foodservices Central Florida,606703,64.00 
Front of the House,3/4/2015,Tee Jay Thai Sushi,Edward Don,606779,450.60 
Front of the House,3/4/2015,Thai House II,Edward Don,606782,450.60 
Front of the House,3/4/2015,The Garlic,P & J Consulting,606679,452.88 
Front of the House,3/4/2015,The Garlic,P & J Consulting,606679,452.88 
Front of the House,3/4/2015,Wasserstrom,Wasserstrom,606698,"8,987.12 "
Front of the House,3/4/2015,Wall St Cantina,Louis Wohl,606857,306.72 
Front of the House,3/4/2015,Walt Disney World Swan,Walt Disney World Swan,606709,150.00 
Front of the House,3/4/2015,Walt Disney World Swan,Walt Disney World Swan,606711,150.00 
Front of the House,3/4/2015,Walt Disney World Swan,Waltd Disney World Swan,606710,150.00 
Front of the House,3/4/2015,WDW Coronado Springs Resort,Edward Don,606797,897.12 
Front of the House,3/4/2015,WDW Yacht & Beach,Edward Don,606776,514.80 
Front of the House,3/4/2015,Westgate Myrtle Beach,Louis Wohl,606818,"1,035.84 "
Front of the House,3/4/2015,Westgate Myrtle Beach,Louis Wohl,606818,"1,035.84 "
Front of the House,3/4/2015,Westin-Key West,Atlantic Purchasing,606713,614.88 
Front of the House,3/4/2015,Wildcat Run,Cheney Brothers,606805,380.78 
Front of the House,3/4/2015,Wildcat Run,Cheney Brothers,606805,380.78 
Front of the House,3/5/2015,Agave Bar & Grill,Edward Don,606958,67.86 
Front of the House,3/5/2015,Bath and Tennis Club Inc,Edward Don,606969,236.40 
Front of the House,3/5/2015,Boca Woods Country Club Inc,Edward Don,606926,176.40 
Front of the House,3/5/2015,Brick Restaurant,Edward Don,606925,56.88 
Front of the House,3/5/2015,Brookdale Cypress Village ,Edward Don,606978,57.42 
Front of the House,3/5/2015,Casa Marina,Edward Don,606977,480.30 
Front of the House,3/5/2015,Coral Ridge Country Club,Edward Don,606928,261.36 
Front of the House,3/5/2015,Culinary Convenience,Culinary Convenience,606934,379.08 
Front of the House,3/5/2015,Delray Beach Club,Edward Don,606868,144.72 
Front of the House,3/5/2015,Francesco's Ristorante,Edward Don,606825,222.48 
Front of the House,3/5/2015,General Hotel,General Hotel,606833,73.92 
Front of the House,3/5/2015,General Hotel,General Hotel,606834,420.96 
Front of the House,3/5/2015,General Hotel,General Hotel,606941,"5,886.28 "
Front of the House,3/5/2015,Naples Beach Hotel & Golf Club,Edward Don,606947,334.40 
Front of the House,3/5/2015,O'Bricks Irish Pub LLC,Edward Don,606862,46.68 
Front of the House,3/5/2015,Palm Beach Yacht Club Assocate,Edward Don,606982,117.36 
Front of the House,3/5/2015,Palm Beach Yacht Club Assocate,Edward Don,606980,234.72 
Front of the House,3/5/2015,Ponte Vedra Inn & Club,Edward Don,606823,405.60 
Front of the House,3/5/2015,S-3,Edward Don,606850,422.64 
Front of the House,3/5/2015,Saddlebrook Resorts Inc,Edward Don,606865,240.96 
Front of the House,3/5/2015,Wall St Cantina,Louis Wohl,606857,306.72 
Front of the House,3/5/2015,Wyndham Bonnet Creek,Edward Don,606820,217.80 
Front of the House,3/6/2015,Acqualina Management LLC Resup,Edward Don,607078,594.72 
Front of the House,3/6/2015,Cheeca Lodge & Spa,Edward Don,607287,72.00 
Front of the House,3/6/2015,Dolphin Hotel Association,Walt Disney World Dolphin Hotel,607119,214.20 
Front of the House,3/6/2015,Doubletree Hotel Orlando Downtown,Wasserstrom,606944,41.28 
Front of the House,3/6/2015,Hilton Fort Lauderdale,Edward Don,607008,241.08 
Front of the House,3/6/2015,Kansas Marine,Kansas Marine,607115,"2,530.80 "
Front of the House,3/6/2015,Kensington Golf Country Club,Edward Don,607167,420.48 
Front of the House,3/6/2015,Kessler Collection,Wasserstrom,607099,836.44 
Front of the House,3/6/2015,Key West Marriott,Edward Don,607162,830.46 
Front of the House,3/6/2015,Khong Restaurant,R.W. Smith & Co.,607152,100.20 
Front of the House,3/6/2015,Lynn University Sodexo,Edward Don,607018,58.56 
Front of the House,3/6/2015,Red Mesa Cantina,Food Service Warehouse,607164,433.08 
Front of the House,3/6/2015,Riviera Facility-CBI,Cheney Brothers,607128,334.05 
Front of the House,3/6/2015,Rollot Designs Inc,Rollot Designs Inc,607014,326.88 
Front of the House,3/6/2015,Seminole Hardrock Offsite Warehouse,Edward Don,607013,645.06 
Front of the House,3/6/2015,Supreme Hotel and Restaurant Supply,Supreme Hotel and Restaurant Supply,607051,318.24 
Front of the House,3/6/2015,Suzy Qs Hometown Diner,Food Service Warehouse,607175,304.32 
Front of the House,3/6/2015,Sysco foodservices Central Florida,Sysco Food Service of South Florida,607064,442.00 
Front of the House,3/6/2015,Universal Studios,Edward Don,607100,253.28 
Front of the House,3/6/2015,WDW Animal Kingdom Lodge,Edward Don,607069,92.40 
Front of the House,3/9/2015,12A Buoy,Edward Don,607219,136.32 
Front of the House,3/9/2015,Arbor Terrace @ Citrus Park,Supplies on the Fly,607302,459.60 
Front of the House,3/9/2015,Casa Marina,Edward Don,607247,358.08 
Front of the House,3/9/2015,Club At Barefoot Beach,Edward Don,607307,51.18 
Front of the House,3/9/2015,D Angelos Pizza ,Edward Don,607246,180.24 
Front of the House,3/9/2015,Flippers on the Bay,Edward Don,607318,194.88 
Front of the House,3/9/2015,Guppy's On The Beach ,Louis Wohl,607230,395.52 
Front of the House,3/9/2015,Hilton Hotel Tampa,Edward Don,607251,59.40 
Front of the House,3/9/2015,Hyatt Regency Pier 66,Edward Don,607205,501.60 
Front of the House,3/9/2015,Kaiyo,Edward Don,607312,218.40 
Front of the House,3/9/2015,Restaurant Warehouse,Restaurant Warehouse,607260,352.08 
Front of the House,3/9/2015,Ritz Carlton Naples,Wasserstrom,607319,354.96 
Front of the House,3/9/2015,Rollot Designs Inc,Rollot Designs Inc,607201,74.40 
Front of the House,3/9/2015,Streamsong Resort Lodge ,Edward Don,607321,84.48 
Front of the House,3/9/2015,Sweet Melissa's ,Chef's Warehouse,607262,428.88 
Front of the House,3/9/2015,Waterstone Resort Doubletree,Edward Don,607259,234.96 
Front of the House,3/9/2015,WDW Art of Animation F & B,Edward Don,607226,49.56 
Front of the House,3/10/2015,Carolina Catering,Edward Don,607355,"1,247.76 "
Front of the House,3/10/2015,Hospice of Palm Beach ,Supplies on the Fly,607328,67.56 
Front of the House,3/10/2015,Seminole Beach Club,US Foods,607335,183.48 
Front of the House,3/10/2015,Seminole Sunset Grill,US Foods,607359,273.00 
Dudson,2/12/2015,WDW Boardwalk Resort,Edward Don,148709,"1,244.16 "
Front of the House,3/9/2015,Watercolor Warehouse,Atlanta fixture,607304,"6,379.08 "
Front of the House,3/10/2015,Sharkys Restaurant ,Edward Don,607378,"1,037.76 "
Front of the House,3/10/2015,Arrowpac,Edward Don,607383,"4,479.90 "
Front of the House,3/5/2015,Bretts,Supplies on the Fly,606908,72.90 
Front of the House,3/11/2015,World Golf Resort,Edward Don,607592,54.12 
Front of the House,3/12/2015,Breakers Hotel,Louis Wohl,607707,115.20 
Front of the House,3/12/2015,Biscottis Expresso Cafe,Edward Don,607832,415.68 
Front of the House,3/13/2015,Westgate Myrtle Beach,Louis Wohl,607921,"1,035.84 "
Front of the House,3/13/2015,Compass/Wuesthoff Town Square,Louis Wohl,607923,55.92 
Front of the House,3/12/2015,Skyview Country Club,Supplies on the Fly,607796,25.20 
Front of the House,3/13/2015,#306 Cantina Laredo-Sandestin,Sysco Corporation,607854,216.60 
Front of the House,3/9/2015,Westin-Key West,Atlantic Purchasing,607298,438.12 
Front of the House,3/9/2015,Dolphin Hotel Association,Walt Disney World Dolphin Hotel,607301,150.00 
Front of the House,3/10/2015,WDW DCL Fantasy Cruise,Edward Don,607451,64.56 
Front of the House,3/10/2015,Olde Cypress Club,Edward Don,607411,"1,040.16 "
Front of the House,3/10/2015,Epcot Japan Mitsukoshi USA Inc,Edward Don,607392,627.60 
Front of the House,3/11/2015,Gaylord Palms Resort Loading Dock,The Wasserstrom Company,607525,944.04 
Front of the House,3/11/2015,Hobnob,Edward Don,607597,60.06 
Front of the House,3/11/2015,Haven Wine Bar,Edward Don,607598,87.12 
Front of the House,3/11/2015,WDW Grand Floridian Beach,Edward Don,607534,765.92 
Front of the House,3/10/2015,Bay House Restaurant,Edward Don,607407,83.88 
Front of the House,3/11/2015,WDW Cinderella Royal Table,Edward Don,607605,293.60 
Front of the House,3/11/2015,Station 400,Edward Don,607618,50.88 
Front of the House,3/12/2015,400 Beach Seafood & Tap House,Edward Don,607664,490.80 
Front of the House,3/12/2015,Bay House Restaurant,Edward Don,607661,376.20 
Front of the House,3/11/2015,Samoset Resort- Rockport,Atlantic Purchasing,607632,68.04 
Front of the House,3/12/2015,Patanegra Tapas,US Foods,607741,57.72 
Front of the House,3/3/2015,Gordon Food Service,Gordon Food Service,606531,240.00 
Front of the House,3/12/2015,Sheraton Safari,Edward Don,607656,293.52 
Front of the House,3/13/2015,The Wasserstrom Company,The Wasserstrom Company,607883,"6,776.40 "
Front of the House,3/12/2015,WDW Harambe ,Edward Don,607679,"1,280.02 "
Front of the House,3/16/2015,The Wasserstrom Company,The Wasserstrom Company,608023,"3,362.68 "
Front of the House,3/13/2015,Shore Diner,Edward Don,607976,211.44 
Front of the House,3/13/2015,WDW Be Our Guest,Edward Don,607952,663.00 
Front of the House,3/13/2015,Gulf View Grill No Bch Rd Inc,Edward Don,607957,100.08 
Front of the House,3/16/2015,WDW Hollywood Studios Brown Derby,Edward Don,608130,422.20 
Front of the House,3/16/2015,WDW Animal Kingdom Lodge,Edward Don,608134,752.64 
Front of the House,3/9/2015,Rollot Designs Inc,Rollot Designs Inc,607201,74.40 
Front of the House,3/9/2015,Farmers Table,Cheney Brothers,607294,441.60 
Front of the House,3/9/2015,Christopher's Kitchen-Front of the House,Cheney Brothers,607296,87.36 
Front of the House,3/10/2015,Casa Marina,Edward Don,607453,133.20 
Front of the House,3/10/2015,General Hotel,General Hotel,607500,108.30 
Front of the House,3/10/2015,American Food Equipment,American Food Equipment,607503,180.48 
Front of the House,3/10/2015,Culinary Convenience,Culinary Convenience,607508,"1,325.14 "
Front of the House,3/10/2015,Seminole Hardrock Hotel and Casino,Edward Don,607389,198.48 
Front of the House,3/10/2015,Key West Marriott,Edward Don,607390,87.60 
Front of the House,3/11/2015,Food Service Co-Op,Food Service Co-op of America,607512,871.20 
Front of the House,3/10/2015,Big City Tavern Las Olas,Edward Don,607446,259.44 
Front of the House,3/10/2015,Restaurant Warehouse,Restaurant Warehouse,607344,576.00 
Front of the House,3/10/2015,The Restaurant Store,The Restaurant Store,607470,451.92 
Front of the House,3/10/2015,A&B Lobster House,Sysco Food Service of South Florida,607485,209.40 
Front of the House,3/11/2015,Marriott Harbor Beach,The Wasserstrom Company,607572,463.08 
Front of the House,3/11/2015,S-3 ,Edward Don,607574,129.72 
Front of the House,3/10/2015,Maimi Aqua Tours,R.W. Smith & Co.,607334,216.00 
Front of the House,3/6/2015,The Angler's Resort,R.W. Smith & Co.,607160,94.06 
Front of the House,3/10/2015,Coconuts Bahama Grill LLC,Edward Don,607404,391.02 
Front of the House,3/10/2015,Clevelander Hotel,Edward Don,607406,162.60 
Front of the House,3/11/2015,BYEF-Sky Bar,Sysco Food Service of South Florida,607649,250.56 
Front of the House,3/11/2015,Roccos Tacos FT Laud,Edward Don,607620,155.16 
Front of the House,3/12/2015,Fooq's,Sysco Food Service of South Florida,607667,58.56 
Front of the House,3/12/2015,Grand Oaks Of Jensen Beach,Edward Don,607665,174.24 
Front of the House,3/11/2015,Sushi Sake ,General Hotel,607535,"1,154.16 "
Front of the House,3/12/2015,Cuzco Brickell Cocina Peruana Inc,Edward Don,607690,"8,811.77 "
Front of the House,3/11/2015,Florida Yacht Management,Fadel's Food Serv Equip & Supplies,607642,"2,257.12 "
Front of the House,3/11/2015,Seminole Hard Rock Hotel and Casino,Edward Don,607514,476.96 
Front of the House,3/11/2015,Fisher Island Club Inc,Edward Don,607591,157.32 
Front of the House,3/11/2015,Fisher Island Club Inc,Edward Don,607517,"1,731.78 "
Front of the House,3/12/2015,Culinary Convenience,Culinary Convenience,607735,918.40 
Front of the House,3/12/2015,Grand Beach Hotel,Sysco Food Service of South Florida,607833,131.52 
Front of the House,3/12/2015,Tomson Hospitality,Tomson Hospitality,607778,533.04 
Front of the House,3/12/2015,Frenchmans Reserve Country Club,Edward Don,607805,"3,165.60 "
Front of the House,3/3/2015,Gordon Food Service,Gordon Food Service,606528,862.32 
Front of the House,3/12/2015,Wynwood Kitchen and Bar LLC,Edward Don,607669,"1,399.20 "
Front of the House,3/12/2015,The  White Elephant,Supplies on the Fly,607682,104.40 
Front of the House,3/12/2015,Canyon Restaurant,Supplies on the Fly,607815,363.60 
Front of the House,3/13/2015,Admirals Miami Intl Airport,Edward Don,607869,53.04 
Front of the House,3/13/2015,American Food Equipment,American Food Equipment,607873,648.60 
Front of the House,3/12/2015,Fooq's,Sysco Food Service of South Florida,607839,844.70 
Front of the House,3/13/2015,Culinary Convenience,Culinary Convenience,607872,135.04 
Front of the House,3/10/2015,Sundy House,Cheney Brothers,607904,562.84 
Front of the House,3/12/2015,Redbury Hotel/Cleo Restaurant,R.W. Smith & Co.,607844,62.16 
Front of the House,3/12/2015,Gordon Food Service,Gordon Food Service,607743,358.76 
Front of the House,3/16/2015,Seminole Beach Club,US Foods,608051,865.60 
Front of the House,3/16/2015,Seminole Production ,US Foods,608056,865.60 
Front of the House,3/16/2015,Gates,Edward Don,608035,766.84 
Front of the House,3/16/2015,Element Miami Intl Airport,Edward Don,608138,389.76 
Front of the House,3/16/2015,Culinary Convenience,Culinary Convenience,608152,"1,073.16 "
Front of the House,3/13/2015,Whitehall,Cheney Brothers,607908,"1,586.00 "
Front of the House,3/16/2015,Crowne Plaza Melbourne,Supplies on the Fly,608084,208.00 
Front of the House,3/16/2015,Intercontinental Miami,Intercontinental Miami,608145,379.20 
Front of the House,3/16/2015,Scarfones Resturant,Edward Don,608132,167.52 
Front of the House,3/16/2015,Palma Ceia Golf Club,Edward Don,608123,62.28 
Front of the House,3/16/2015,Wa Boca Raton Beach Club,Edward Don,608173,399.48 
Front of the House,3/16/2015,Mandarin Oriental Hotel,The Wasserstrom Company,608217,43.20 
Front of the House,3/16/2015,Seminole Plum Bar,US Foods,608225,303.12 
Front of the House,3/16/2015,Seminole Council Oak,US Foods,608226,187.76 
Front of the House,3/16/2015,Sharkys Restaurant ,Edward Don,608210,"1,205.28 "
Front of the House,3/16/2015,W South Beach Hotel & Residences,Edward Don,608214,352.44 
Front of the House,3/13/2015,Z Grille 2 KD G,Supplies on the Fly,607967,110.40 
Front of the House,3/17/2015,Cassis American Brasserie,Edward Don,608235,197.76 
Front of the House,3/17/2015,Cocina 214 ,Edward Don,608236,56.40 
Front of the House,3/17/2015,Cleo Miami,R.W. Smith & Co.,608269,46.20 
Front of the House,3/16/2015,Sonesta Bayfront Hotel,Brewster Wholesale,608151,690.12 
Front of the House,3/17/2015,Gulf Harbour Yacht & Country club,Chefs Warehouse ,608259,55.80 
Front of the House,3/17/2015,Rollot Designs Inc,Rollot Designs Inc,608276,136.00 
Front of the House,3/17/2015,Thai Jo,Cheney Brothers,608282,208.80 
Front of the House,3/17/2015,Marriott Harbor Beach,The Wasserstrom Company,608327,384.48 
Front of the House,3/17/2015,Centre Club Tampa,The Wasserstrom Company,608338,78.00 
Front of the House,3/17/2015,Seminole Hard Rock Hotel and Casino,Edward Don,608299,194.04 
Front of the House,3/17/2015,Hyde Out,Edward Don,608309,729.54 
Front of the House,3/17/2015,Seminole CC Sorrisi,US Foods,608364,211.80 
Front of the House,3/17/2015,Seminole Casino CC Fresh Harvest,US Foods,608373,231.96 
Front of the House,3/17/2015,Seminole Council Oak,US Foods,608381,75.00 
Front of the House,3/17/2015,Seminole Blue Plate,US Foods,608395,404.16 
Front of the House,3/17/2015,WDW Grand Floridian Beach,Edward Don,608361,658.92 
Front of the House,3/16/2015,Four Seasons Hotel Miami,R.W. Smith & Co.,608164,376.80 
Front of the House,3/13/2015,Four Seasons Hotel Miami,R.W. Smith & Co.,607993,923.40 
Front of the House,3/17/2015,General Hotel,General Hotel,608389,"1,046.88 "
Front of the House,3/17/2015,Rollot Designs Inc,Rollot Designs Inc,608391,"2,175.00 "
Front of the House,3/18/2015,Rollot Designs Inc,Rollot Designs Inc,608407,"1,600.00 "
Front of the House,3/18/2015,American Food Equipment,American Food Equipment,608462,356.88 
Front of the House,3/18/2015,General Hotel,General Hotel,608501,172.20 
Front of the House,3/18/2015,Culinary Convenience,Culinary Convenience,608490,78.60 
Front of the House,3/18/2015,WDW Boardwalk Resort,Edward Don,608511,468.48 
Front of the House,3/17/2015,Brasserie Central,General Hotel,608390,163.20 
Front of the House,3/18/2015,L&J Seafood ,Edward Don,608411,148.20 
Front of the House,3/18/2015,Glenridge on Palmer Ranch Inc,Edward Don,608413,395.04 
Front of the House,3/18/2015,WDW Contemporary Resort F B ,Edward Don,608417,556.20 
Front of the House,3/18/2015,Restaurant People Bch Blvd,Edward Don,608422,323.28 
Front of the House,3/18/2015,WDW Hollywood Studios Mama Melrose,Edward Don,608484,"2,354.56 "
Front of the House,3/18/2015,WDW Hollywood Studios Mama Melrose,Edward Don,608483,"2,354.56 "
